Name,job title,headline,summary,keywords,educations,experiences,skills,candidate_profile,disqualified,normalized_prediction_score,prediction
Candidate 5,Ruby + (Golang/Rust) Engineer,nan,,ruby|ruby on rails|postgresql,"Ingeniería, Ingeniería Informática at Metropolitan University of Technology (Jan 2011 to Jan 2017)",Backend Developer at Papa John's Chile (Nov 2020 to Jun 2021)  | Backend Developer at Mercat (Nov 2020 to N/A)  | Rails Developer at Human Search (Jun 2020 to Nov 2020)  | Rails Developer at 4Talent (Mar 2019 to May 2019)  | Rails Developer at FELITECH Consulting (Nov 2017 to Feb 2019),nan,"nan  Ingeniería, Ingeniería Informática at Metropolitan University of Technology (Jan 2011 to Jan 2017) Backend Developer at Papa John's Chile (Nov 2020 to Jun 2021)  | Backend Developer at Mercat (Nov 2020 to N/A)  | Rails Developer at Human Search (Jun 2020 to Nov 2020)  | Rails Developer at 4Talent (Mar 2019 to May 2019)  | Rails Developer at FELITECH Consulting (Nov 2017 to Feb 2019) nan",0,79.48717948717949,0.62
Candidate 38,Senior DevOps Engineer - AWS,nan,,,nan,Senior Cloud Architect at Repairify (Jun 2024 to N/A)  | Cloud Architect at Solera (Sep 2020 to Jan 2024)  | Technical Lead at Wipro (Apr 2018 to May 2020)  | Cloud Engineer at Softtek (May 2016 to Apr 2018)  | Database Engineer at Marlabs Software (Nov 2014 to May 2016),DevOps|Amazon Web Services (AWS)|Docker Products,nan  nan Senior Cloud Architect at Repairify (Jun 2024 to N/A)  | Cloud Architect at Solera (Sep 2020 to Jan 2024)  | Technical Lead at Wipro (Apr 2018 to May 2020)  | Cloud Engineer at Softtek (May 2016 to Apr 2018)  | Database Engineer at Marlabs Software (Nov 2014 to May 2016) DevOps|Amazon Web Services (AWS)|Docker Products,0,78.2051282051282,0.61
Candidate 22,Lead Generator,nan,,,nan,International Marketing Assistant at Influu (Jan 2022 to Dec 2022)  | Sales Development Representative at Agmov Industrial Supplies (Jan 2022 to Dec 2023)  |  at Universidade Metodista de São Paulo (Jan 2016 to Dec 2018)  |  at Negócios Internacionais e Comércio Exterior (Jan 2013 to Dec 2015),nan,nan  nan International Marketing Assistant at Influu (Jan 2022 to Dec 2022)  | Sales Development Representative at Agmov Industrial Supplies (Jan 2022 to Dec 2023)  |  at Universidade Metodista de São Paulo (Jan 2016 to Dec 2018)  |  at Negócios Internacionais e Comércio Exterior (Jan 2013 to Dec 2015) nan,0,76.92307692307692,0.6
Candidate 18,Lead Generator,nan,,,French and Foreign Language at Alliance Française (Sep 2021 to Nov 2021)  |  Advertising at Pontifical Bolivarian University (Jan 2020 to Jan 2020)  |  Advertising and Public Relations at University of the Basque Country (Jan 2017 to Jan 2018)  |  Advertising and Communications at Western Institute of Technology and Higher Education (Aug 2015 to May 2021),Software Market Specialist at Slashdot Media (Sep 2023 to N/A)  | Client Success Executive at Ecom Health Center (Apr 2023 to Jul 2023)  | People Operations Coordinator at Wexpand (Jan 2023 to Feb 2023)  | Team Lead at CIENCE (May 2022 to Dec 2022)  | Sdr at CIENCE (Jun 2021 to May 2022)  | Apprentice Consultant and Marketing at CUE ITESO (Aug 2020 to May 2021)  | Owner at Freelance (Jul 2018 to Jan 2020)  | Customer Service Representative at Teleperformance (Jan 2015 to Jun 2015),nan,nan  French and Foreign Language at Alliance Française (Sep 2021 to Nov 2021)  |  Advertising at Pontifical Bolivarian University (Jan 2020 to Jan 2020)  |  Advertising and Public Relations at University of the Basque Country (Jan 2017 to Jan 2018)  |  Advertising and Communications at Western Institute of Technology and Higher Education (Aug 2015 to May 2021) Software Market Specialist at Slashdot Media (Sep 2023 to N/A)  | Client Success Executive at Ecom Health Center (Apr 2023 to Jul 2023)  | People Operations Coordinator at Wexpand (Jan 2023 to Feb 2023)  | Team Lead at CIENCE (May 2022 to Dec 2022)  | Sdr at CIENCE (Jun 2021 to May 2022)  | Apprentice Consultant and Marketing at CUE ITESO (Aug 2020 to May 2021)  | Owner at Freelance (Jul 2018 to Jan 2020)  | Customer Service Representative at Teleperformance (Jan 2015 to Jun 2015) nan,0,75.64102564102564,0.59
Candidate 26,Lead Generator,nan,,,Engineer'S Degree Ingeniería Mecánica at University of Antioquia (N/A to Jan 2019),Advisory Board at Apollo.io (May 2023 to N/A)  | Sales Development Representative at FullStack Labs (Aug 2022 to N/A)  | Business Development Representative at Lean Solutions Group (May 2021 to Aug 2022)  | Business Development Representative at Linkage Logistics (May 2021 to Aug 2022),nan,nan  Engineer'S Degree Ingeniería Mecánica at University of Antioquia (N/A to Jan 2019) Advisory Board at Apollo.io (May 2023 to N/A)  | Sales Development Representative at FullStack Labs (Aug 2022 to N/A)  | Business Development Representative at Lean Solutions Group (May 2021 to Aug 2022)  | Business Development Representative at Linkage Logistics (May 2021 to Aug 2022) nan,0,75.64102564102564,0.59
Candidate 37,Lead Generator,nan,,,nan,Sales Development Representative at SOLVO GLOBAL (Jan 2023 to Feb 2024)  | Staff Augmentation at ITERUM BPO (Nov 2020 to Dec 2022)  | Cross Sales Agent at KM2 SOLUTIONS (Oct 2019 to Nov 2020),Sales|Market Research|Social Media|Lead Generation|Customer Relationship Management (CRM)|Business-to-Business (B2B)|Sales Processes,nan  nan Sales Development Representative at SOLVO GLOBAL (Jan 2023 to Feb 2024)  | Staff Augmentation at ITERUM BPO (Nov 2020 to Dec 2022)  | Cross Sales Agent at KM2 SOLUTIONS (Oct 2019 to Nov 2020) Sales|Market Research|Social Media|Lead Generation|Customer Relationship Management (CRM)|Business-to-Business (B2B)|Sales Processes,0,74.35897435897435,0.58
Candidate 6,Ruby + (Golang/Rust) Engineer,nan,,ruby|ruby on rails|postgresql|React,"Bachelor of Science Ingeniería Informática at University of Holguín (Jan 2009 to Jan 2014)  | Certificate (Advanced Level) Examination ,Sri Lanka Year 2007, Mathematica at Galahitiyawa Central College (Jan 1996 to Jan 2005)",Senior Developer at FollowUP Customer Experience (Aug 2019 to N/A)  | Senior Developer at PlagLabs (Jan 2019 to Jul 2019)  | Developer at WebCarga (Aug 2015 to Jan 2019),nan,"nan  Bachelor of Science Ingeniería Informática at University of Holguín (Jan 2009 to Jan 2014)  | Certificate (Advanced Level) Examination ,Sri Lanka Year 2007, Mathematica at Galahitiyawa Central College (Jan 1996 to Jan 2005) Senior Developer at FollowUP Customer Experience (Aug 2019 to N/A)  | Senior Developer at PlagLabs (Jan 2019 to Jul 2019)  | Developer at WebCarga (Aug 2015 to Jan 2019) nan",0,74.35897435897435,0.58
Candidate 108,Lead Generator,nan,,,"Marketing, Business and Development at IE Business School (N/A to N/A)  | Master Social Communication and Journalism at Pontifical Bolivarian University (N/A to Dec 2015)",Business Development Representative at MASTERCRAFT (Apr 2024 to N/A)  | Demand Generation Representative at AMAZON WEB SERVICES (Sep 2022 to Apr 2024)  | Head of Growth at Colombian crypto (Nov 2021 to Jun 2022)  | Digital Content Manager at MÁS ALTO CAPITAL (May 2020 to Nov 2021)  | Indepedent Digital Consultant at MIND MEDIA. CLIENT: DROGUERÍA CRUZ VERDE (Feb 2020 to Jul 2021)  | Marketing and Coordinator at  (Oct 2015 to Feb 2020),Sales|Communication|Social Media|Oral Communication,"nan  Marketing, Business and Development at IE Business School (N/A to N/A)  | Master Social Communication and Journalism at Pontifical Bolivarian University (N/A to Dec 2015) Business Development Representative at MASTERCRAFT (Apr 2024 to N/A)  | Demand Generation Representative at AMAZON WEB SERVICES (Sep 2022 to Apr 2024)  | Head of Growth at Colombian crypto (Nov 2021 to Jun 2022)  | Digital Content Manager at MÁS ALTO CAPITAL (May 2020 to Nov 2021)  | Indepedent Digital Consultant at MIND MEDIA. CLIENT: DROGUERÍA CRUZ VERDE (Feb 2020 to Jul 2021)  | Marketing and Coordinator at  (Oct 2015 to Feb 2020) Sales|Communication|Social Media|Oral Communication",0,74.35897435897435,0.58
Candidate 23,Lead Generator,nan,,,Bachelor & Bachelor of Law Law at Laureate Education (Jan 2018 to Dec 2022),Ambassador at EVOLVE Commerce Club (Apr 2024 to N/A)  | Community Manager at Kobe Apps (Jan 2024 to N/A)  | Business Analyst at Kobe Apps (Jan 2023 to Jan 2024)  | Sales Development Representative at Kobe Apps (Oct 2021 to Dec 2022)  | Business Development Representative at Tenex (Oct 2020 to Oct 2021)  | Sales Coordinator at AIESEC (Feb 2019 to Feb 2020)  | Sales Manager at AIESEC (Sep 2018 to Jan 2019),nan,nan  Bachelor & Bachelor of Law Law at Laureate Education (Jan 2018 to Dec 2022) Ambassador at EVOLVE Commerce Club (Apr 2024 to N/A)  | Community Manager at Kobe Apps (Jan 2024 to N/A)  | Business Analyst at Kobe Apps (Jan 2023 to Jan 2024)  | Sales Development Representative at Kobe Apps (Oct 2021 to Dec 2022)  | Business Development Representative at Tenex (Oct 2020 to Oct 2021)  | Sales Coordinator at AIESEC (Feb 2019 to Feb 2020)  | Sales Manager at AIESEC (Sep 2018 to Jan 2019) nan,0,74.35897435897435,0.58
Candidate 7,Lead Generator,nan,,,Bachelor of Arts Sport and Social at University of Bath (N/A to Dec 2014),Business Development Representative at Smith.ai (May 2023 to N/A)  | Advisorist at  (Oct 2022 to Mar 2023)  | Inside Sales Executive at Dental Departures (Worldwide) (Sep 2021 to Mar 2022)  | Property Manager Assistant at TrustHome Properties (Oct 2020 to N/A)  | Customer Service Representative at TUI (Jul 2018 to Jan 2021)  | Marketing Executive at Paris Smith (Jan 2016 to Dec 2017)  | Personal Assistant at Orangetheory Fitness (Jan 2015 to Dec 2015),Administration,nan  Bachelor of Arts Sport and Social at University of Bath (N/A to Dec 2014) Business Development Representative at Smith.ai (May 2023 to N/A)  | Advisorist at  (Oct 2022 to Mar 2023)  | Inside Sales Executive at Dental Departures (Worldwide) (Sep 2021 to Mar 2022)  | Property Manager Assistant at TrustHome Properties (Oct 2020 to N/A)  | Customer Service Representative at TUI (Jul 2018 to Jan 2021)  | Marketing Executive at Paris Smith (Jan 2016 to Dec 2017)  | Personal Assistant at Orangetheory Fitness (Jan 2015 to Dec 2015) Administration,0,71.7948717948718,0.56
Candidate 24,Lead Generator,nan,,,Bachelor of Engineering Computer Engineering at National University of Córdoba (Jan 2016 to Jan 2019)  | Bachelor'S Natural Sciences at Accademia dei Lincei (N/A to N/A)  | Bachelor'S Computer Programming at National University of Córdoba (N/A to Jan 2021),Head of Business Development at Guru Labs Software & Blockchain Solutions (Feb 2024 to N/A)  | Sales Development Representative at Solvo Global (May 2023 to Feb 2024)  | Sales Supervisor at Chevrolet (Jul 2019 to May 2023),nan,nan  Bachelor of Engineering Computer Engineering at National University of Córdoba (Jan 2016 to Jan 2019)  | Bachelor'S Natural Sciences at Accademia dei Lincei (N/A to N/A)  | Bachelor'S Computer Programming at National University of Córdoba (N/A to Jan 2021) Head of Business Development at Guru Labs Software & Blockchain Solutions (Feb 2024 to N/A)  | Sales Development Representative at Solvo Global (May 2023 to Feb 2024)  | Sales Supervisor at Chevrolet (Jul 2019 to May 2023) nan,0,69.23076923076923,0.54
Candidate 8,Lead Generator,nan,,,nan,Social Media Manager at Regional Subdustribution coordinato (Jan 2021 to Dec 2022)  | Community Manager Junior at Tiburonzzito (Jan 2019 to Dec 2019)  | Community Manager at SA Autocredit (Jan 2017 to Dec 2019)  | Sales Manager at Spaceland (Jan 2017 to Dec 2017)  | Business Development Executive at Infotech Global Solutions (N/A to N/A),nan,nan  nan Social Media Manager at Regional Subdustribution coordinato (Jan 2021 to Dec 2022)  | Community Manager Junior at Tiburonzzito (Jan 2019 to Dec 2019)  | Community Manager at SA Autocredit (Jan 2017 to Dec 2019)  | Sales Manager at Spaceland (Jan 2017 to Dec 2017)  | Business Development Executive at Infotech Global Solutions (N/A to N/A) nan,0,66.66666666666666,0.52
Candidate 21,Lead Generator,nan,,,Bachelor Advertising and Marketing at Federal University of Minas Gerais (Jul 2021 to Jul 2025)  | Bachelor Biology at Federal University of Viçosa (Feb 2018 to Dec 2020)  | Technical Degree Information Technology at E. E. Dr. Olavo Tostes (Sep 2015 to Aug 2017)  | Bachelor International Business at Istanbul Commerce University (N/A to Mar 2024),Sales Executive at Rubeus (Jan 2023 to N/A)  | Sales Development Representative at Rubeus (Aug 2022 to Dec 2022)  | Copywriter at Softaliza (Sep 2021 to Dec 2021)  | Marketing Analyst at Rubeus (Jul 2021 to Jul 2022)  | Marketing Intern at Rubeus (Dec 2020 to Jul 2021)  | President at In Bio - Empresa Júnior de Biologia (Mar 2019 to Mar 2020)  | Marketing Director at In Bio - Empresa Júnior de Biologia (Mar 2018 to Mar 2019),nan,nan  Bachelor Advertising and Marketing at Federal University of Minas Gerais (Jul 2021 to Jul 2025)  | Bachelor Biology at Federal University of Viçosa (Feb 2018 to Dec 2020)  | Technical Degree Information Technology at E. E. Dr. Olavo Tostes (Sep 2015 to Aug 2017)  | Bachelor International Business at Istanbul Commerce University (N/A to Mar 2024) Sales Executive at Rubeus (Jan 2023 to N/A)  | Sales Development Representative at Rubeus (Aug 2022 to Dec 2022)  | Copywriter at Softaliza (Sep 2021 to Dec 2021)  | Marketing Analyst at Rubeus (Jul 2021 to Jul 2022)  | Marketing Intern at Rubeus (Dec 2020 to Jul 2021)  | President at In Bio - Empresa Júnior de Biologia (Mar 2019 to Mar 2020)  | Marketing Director at In Bio - Empresa Júnior de Biologia (Mar 2018 to Mar 2019) nan,0,66.66666666666666,0.52
Candidate 25,Lead Generator,nan,,,Master of Business Administration Technology Management at National Tsing Hua University (Jan 2019 to Jan 2021),Latam Export Sales Executive at Superlon Worldwide Sdn. (Aug 2023 to Apr 2024)  | Sales Development Representative at Calyx (Feb 2022 to Jul 2023)  | Sales Development Representative at PMf Strategy (Feb 2022 to Jul 2023)  | Marketing Specialist at Chen Way Machinery Co. (Jun 2021 to Feb 2022)  | Technical Translator at OKIOLABS (Apr 2021 to N/A),nan,nan  Master of Business Administration Technology Management at National Tsing Hua University (Jan 2019 to Jan 2021) Latam Export Sales Executive at Superlon Worldwide Sdn. (Aug 2023 to Apr 2024)  | Sales Development Representative at Calyx (Feb 2022 to Jul 2023)  | Sales Development Representative at PMf Strategy (Feb 2022 to Jul 2023)  | Marketing Specialist at Chen Way Machinery Co. (Jun 2021 to Feb 2022)  | Technical Translator at OKIOLABS (Apr 2021 to N/A) nan,0,62.82051282051282,0.49
Candidate 51,Lead Generator,nan,,,nan,Sales Development Representative at TRINITYLOGISTICS (Jan 2021 to N/A)  | Business Development Representative at ALLIED LOGISTICS PARTNERS (Jan 2018 to Dec 2021),nan,nan  nan Sales Development Representative at TRINITYLOGISTICS (Jan 2021 to N/A)  | Business Development Representative at ALLIED LOGISTICS PARTNERS (Jan 2018 to Dec 2021) nan,0,61.53846153846153,0.48
