Name,job title,headline,summary,keywords,educations,experiences,skills,disqualified,candidate_profile,score
Candidate 16,senior devops engineer - aws,devops engineer at fabius labs,,,master's  at florida international university (jan 2009 to dec 2014),devops engineer at fabius labs (oct 2021 to n/a)  | devops engineer at  (jun 2017 to aug 2021)  | backend developer at toptal (aug 2014 to mar 2017),,1,devops engineer at fabius labs  master's  at florida international university (jan 2009 to dec 2014) devops engineer at fabius labs (oct 2021 to n/a)  | devops engineer at  (jun 2017 to aug 2021)  | backend developer at toptal (aug 2014 to mar 2017) ,0.3419480002482534
Candidate 17,sr software engineer (obj-c & ios exp),,,aws|rails|shell|terraform,master of business administration project management at centro de inovação vincit (n/a to n/a)  | bachelor's information technology and management at universidade paulista (unip (n/a to dec 2012)  | master of business administration architecture at unylya (n/a to dec 2018)  | bachelor's systems analysis and development at unicesumar (n/a to dec 2018)  | postgraduate software engineering at centro de inovação vincit (n/a to dec 2019),senior software engineer development iii at localiza (jan 2020 to n/a)  | content professor at governo do estado do paraná (jan 2020 to dec 2021)  | chief information officer at inolivry (jan 2018 to dec 2020)  | software architect at integrapis start-up (jan 2017 to dec 2019)  | information technology infrastructure analyst at usina alto alegre (jan 2015 to dec 2021)  | partner at jc tecnologia da informação (jan 2011 to dec 2015),amazon web services (aws)|sql,0,  master of business administration project management at centro de inovação vincit (n/a to n/a)  | bachelor's information technology and management at universidade paulista (unip (n/a to dec 2012)  | master of business administration architecture at unylya (n/a to dec 2018)  | bachelor's systems analysis and development at unicesumar (n/a to dec 2018)  | postgraduate software engineering at centro de inovação vincit (n/a to dec 2019) senior software engineer development iii at localiza (jan 2020 to n/a)  | content professor at governo do estado do paraná (jan 2020 to dec 2021)  | chief information officer at inolivry (jan 2018 to dec 2020)  | software architect at integrapis start-up (jan 2017 to dec 2019)  | information technology infrastructure analyst at usina alto alegre (jan 2015 to dec 2021)  | partner at jc tecnologia da informação (jan 2011 to dec 2015) amazon web services (aws)|sql,0.057960979217367724
Candidate 18,lead generator,,,,french and foreign language at alliance française (sep 2021 to nov 2021)  |  advertising at pontifical bolivarian university (jan 2020 to jan 2020)  |  advertising and public relations at university of the basque country (jan 2017 to jan 2018)  |  advertising and communications at western institute of technology and higher education (aug 2015 to may 2021),software market specialist at slashdot media (sep 2023 to n/a)  | client success executive at ecom health center (apr 2023 to jul 2023)  | people operations coordinator at wexpand (jan 2023 to feb 2023)  | team lead at cience (may 2022 to dec 2022)  | sdr at cience (jun 2021 to may 2022)  | apprentice consultant and marketing at cue iteso (aug 2020 to may 2021)  | owner at freelance (jul 2018 to jan 2020)  | customer service representative at teleperformance (jan 2015 to jun 2015),,0,  french and foreign language at alliance française (sep 2021 to nov 2021)  |  advertising at pontifical bolivarian university (jan 2020 to jan 2020)  |  advertising and public relations at university of the basque country (jan 2017 to jan 2018)  |  advertising and communications at western institute of technology and higher education (aug 2015 to may 2021) software market specialist at slashdot media (sep 2023 to n/a)  | client success executive at ecom health center (apr 2023 to jul 2023)  | people operations coordinator at wexpand (jan 2023 to feb 2023)  | team lead at cience (may 2022 to dec 2022)  | sdr at cience (jun 2021 to may 2022)  | apprentice consultant and marketing at cue iteso (aug 2020 to may 2021)  | owner at freelance (jul 2018 to jan 2020)  | customer service representative at teleperformance (jan 2015 to jun 2015) ,0.02961797064157184
Candidate 19,lead generator,,,,"bachelor of engineering be, ingeniería civil at rafael urdaneta university (jan 2017 to jan 2024)",sales development representative at realitycreator.com (mar 2024 to n/a)  | team lead at made omni (jan 2022 to mar 2024)  | outreach specialist at made omni (sep 2021 to jan 2022)  | tutor at self-employed (jan 2019 to aug 2021)  | english teacher at centro electronico de idiomas (nov 2018 to dec 2019),,0,"  bachelor of engineering be, ingeniería civil at rafael urdaneta university (jan 2017 to jan 2024) sales development representative at realitycreator.com (mar 2024 to n/a)  | team lead at made omni (jan 2022 to mar 2024)  | outreach specialist at made omni (sep 2021 to jan 2022)  | tutor at self-employed (jan 2019 to aug 2021)  | english teacher at centro electronico de idiomas (nov 2018 to dec 2019) ",0.05769728588645853
Candidate 20,lead generator,,,,"economia, gestão at federal university of juiz de fora (jan 2018 to jan 2022)",business development manager at wepayments (apr 2024 to n/a)  | global sales development representative at facilitapay (jan 2023 to apr 2024)  | sales development representative at façaagora! (mar 2021 to jan 2023)  | diretor de projetos at campe consultoria jr. (jul 2020 to dec 2020)  | gerente de negócios at campe consultoria jr. (feb 2020 to jul 2020)  | gerente de projetos at campe consultoria jr. (jan 2020 to jul 2020)  | bolsista de iniciação científica at universidade federal de juiz de fora (aug 2019 to feb 2020)  | consultor de projetos at campe consultoria jr. (aug 2019 to jan 2020),,0,"  economia, gestão at federal university of juiz de fora (jan 2018 to jan 2022) business development manager at wepayments (apr 2024 to n/a)  | global sales development representative at facilitapay (jan 2023 to apr 2024)  | sales development representative at façaagora! (mar 2021 to jan 2023)  | diretor de projetos at campe consultoria jr. (jul 2020 to dec 2020)  | gerente de negócios at campe consultoria jr. (feb 2020 to jul 2020)  | gerente de projetos at campe consultoria jr. (jan 2020 to jul 2020)  | bolsista de iniciação científica at universidade federal de juiz de fora (aug 2019 to feb 2020)  | consultor de projetos at campe consultoria jr. (aug 2019 to jan 2020) ",0.0
Candidate 21,lead generator,,,,bachelor advertising and marketing at federal university of minas gerais (jul 2021 to jul 2025)  | bachelor biology at federal university of viçosa (feb 2018 to dec 2020)  | technical degree information technology at e. e. dr. olavo tostes (sep 2015 to aug 2017)  | bachelor international business at istanbul commerce university (n/a to mar 2024),sales executive at rubeus (jan 2023 to n/a)  | sales development representative at rubeus (aug 2022 to dec 2022)  | copywriter at softaliza (sep 2021 to dec 2021)  | marketing analyst at rubeus (jul 2021 to jul 2022)  | marketing intern at rubeus (dec 2020 to jul 2021)  | president at in bio - empresa júnior de biologia (mar 2019 to mar 2020)  | marketing director at in bio - empresa júnior de biologia (mar 2018 to mar 2019),,0,  bachelor advertising and marketing at federal university of minas gerais (jul 2021 to jul 2025)  | bachelor biology at federal university of viçosa (feb 2018 to dec 2020)  | technical degree information technology at e. e. dr. olavo tostes (sep 2015 to aug 2017)  | bachelor international business at istanbul commerce university (n/a to mar 2024) sales executive at rubeus (jan 2023 to n/a)  | sales development representative at rubeus (aug 2022 to dec 2022)  | copywriter at softaliza (sep 2021 to dec 2021)  | marketing analyst at rubeus (jul 2021 to jul 2022)  | marketing intern at rubeus (dec 2020 to jul 2021)  | president at in bio - empresa júnior de biologia (mar 2019 to mar 2020)  | marketing director at in bio - empresa júnior de biologia (mar 2018 to mar 2019) ,0.0
Candidate 22,lead generator,,,,,international marketing assistant at influu (jan 2022 to dec 2022)  | sales development representative at agmov industrial supplies (jan 2022 to dec 2023)  |  at universidade metodista de são paulo (jan 2016 to dec 2018)  |  at negócios internacionais e comércio exterior (jan 2013 to dec 2015),,0,   international marketing assistant at influu (jan 2022 to dec 2022)  | sales development representative at agmov industrial supplies (jan 2022 to dec 2023)  |  at universidade metodista de são paulo (jan 2016 to dec 2018)  |  at negócios internacionais e comércio exterior (jan 2013 to dec 2015) ,0.0
Candidate 23,lead generator,,,,bachelor & bachelor of law law at laureate education (jan 2018 to dec 2022),ambassador at evolve commerce club (apr 2024 to n/a)  | community manager at kobe apps (jan 2024 to n/a)  | business analyst at kobe apps (jan 2023 to jan 2024)  | sales development representative at kobe apps (oct 2021 to dec 2022)  | business development representative at tenex (oct 2020 to oct 2021)  | sales coordinator at aiesec (feb 2019 to feb 2020)  | sales manager at aiesec (sep 2018 to jan 2019),,0,  bachelor & bachelor of law law at laureate education (jan 2018 to dec 2022) ambassador at evolve commerce club (apr 2024 to n/a)  | community manager at kobe apps (jan 2024 to n/a)  | business analyst at kobe apps (jan 2023 to jan 2024)  | sales development representative at kobe apps (oct 2021 to dec 2022)  | business development representative at tenex (oct 2020 to oct 2021)  | sales coordinator at aiesec (feb 2019 to feb 2020)  | sales manager at aiesec (sep 2018 to jan 2019) ,0.0
Candidate 24,lead generator,,,,bachelor of engineering computer engineering at national university of córdoba (jan 2016 to jan 2019)  | bachelor's natural sciences at accademia dei lincei (n/a to n/a)  | bachelor's computer programming at national university of córdoba (n/a to jan 2021),head of business development at guru labs software & blockchain solutions (feb 2024 to n/a)  | sales development representative at solvo global (may 2023 to feb 2024)  | sales supervisor at chevrolet (jul 2019 to may 2023),,0,  bachelor of engineering computer engineering at national university of córdoba (jan 2016 to jan 2019)  | bachelor's natural sciences at accademia dei lincei (n/a to n/a)  | bachelor's computer programming at national university of córdoba (n/a to jan 2021) head of business development at guru labs software & blockchain solutions (feb 2024 to n/a)  | sales development representative at solvo global (may 2023 to feb 2024)  | sales supervisor at chevrolet (jul 2019 to may 2023) ,0.0
Candidate 25,lead generator,,,,master of business administration technology management at national tsing hua university (jan 2019 to jan 2021),latam export sales executive at superlon worldwide sdn. (aug 2023 to apr 2024)  | sales development representative at calyx (feb 2022 to jul 2023)  | sales development representative at pmf strategy (feb 2022 to jul 2023)  | marketing specialist at chen way machinery co. (jun 2021 to feb 2022)  | technical translator at okiolabs (apr 2021 to n/a),,0,  master of business administration technology management at national tsing hua university (jan 2019 to jan 2021) latam export sales executive at superlon worldwide sdn. (aug 2023 to apr 2024)  | sales development representative at calyx (feb 2022 to jul 2023)  | sales development representative at pmf strategy (feb 2022 to jul 2023)  | marketing specialist at chen way machinery co. (jun 2021 to feb 2022)  | technical translator at okiolabs (apr 2021 to n/a) ,0.0
Candidate 26,lead generator,,,,engineer's degree ingeniería mecánica at university of antioquia (n/a to jan 2019),advisory board at apollo.io (may 2023 to n/a)  | sales development representative at fullstack labs (aug 2022 to n/a)  | business development representative at lean solutions group (may 2021 to aug 2022)  | business development representative at linkage logistics (may 2021 to aug 2022),,0,  engineer's degree ingeniería mecánica at university of antioquia (n/a to jan 2019) advisory board at apollo.io (may 2023 to n/a)  | sales development representative at fullstack labs (aug 2022 to n/a)  | business development representative at lean solutions group (may 2021 to aug 2022)  | business development representative at linkage logistics (may 2021 to aug 2022) ,0.0
Candidate 27,lead generator,,,,at kin zulfan (eg method) (dec 2023 to jun 2034)  |  technical analysis at 1-1 massi (multi time frame trader) (nov 2023 to dec 2024)  |  technical analysis at 1-1 giovanni (addition to decision levels of orange) (oct 2023 to dec 2023)  |  technical analysis at 1-1 zlank - malaysian snr (sep 2023 to nov 2023)  |  technical analysis at 1-1 orange soldier (decision level trader) (sep 2023 to nov 2023),sales development representative at cience (mar 2023 to aug 2024)  | marketing manager at neuroclic (feb 2023 to n/a)  | sales development representative at neuroclic (feb 2023 to n/a)  | sales development representative at los andes aberturas (aug 2022 to feb 2023)  | human resources manager at unplugged.import (mar 2020 to aug 2022)  | sales and marketing specialist at unplugged.import (mar 2020 to aug 2022)  | inventory control specialist at unplugged.import (mar 2020 to aug 2022)  | graphic designer at unplugged.import (mar 2020 to aug 2022)  | sales manager at unplugged.import (mar 2020 to aug 2022)  | community manager at unplugged.import (mar 2020 to aug 2022),,0,  at kin zulfan (eg method) (dec 2023 to jun 2034)  |  technical analysis at 1-1 massi (multi time frame trader) (nov 2023 to dec 2024)  |  technical analysis at 1-1 giovanni (addition to decision levels of orange) (oct 2023 to dec 2023)  |  technical analysis at 1-1 zlank - malaysian snr (sep 2023 to nov 2023)  |  technical analysis at 1-1 orange soldier (decision level trader) (sep 2023 to nov 2023) sales development representative at cience (mar 2023 to aug 2024)  | marketing manager at neuroclic (feb 2023 to n/a)  | sales development representative at neuroclic (feb 2023 to n/a)  | sales development representative at los andes aberturas (aug 2022 to feb 2023)  | human resources manager at unplugged.import (mar 2020 to aug 2022)  | sales and marketing specialist at unplugged.import (mar 2020 to aug 2022)  | inventory control specialist at unplugged.import (mar 2020 to aug 2022)  | graphic designer at unplugged.import (mar 2020 to aug 2022)  | sales manager at unplugged.import (mar 2020 to aug 2022)  | community manager at unplugged.import (mar 2020 to aug 2022) ,0.0
Candidate 28,senior devops engineer - aws,,,,,astor my impact windows at ooh backoffice (mar 2023 to apr 2024)  | ooh manager at elitgon (aug 2014 to mar 2016)  | desarrollador node.js/reactjs/typescript at ries (jan 2012 to jun 2014),software development|analytical skills|ruby on rails|amazon web services (aws)|docker products|application programming interfaces (api),1,   astor my impact windows at ooh backoffice (mar 2023 to apr 2024)  | ooh manager at elitgon (aug 2014 to mar 2016)  | desarrollador node.js/reactjs/typescript at ries (jan 2012 to jun 2014) software development|analytical skills|ruby on rails|amazon web services (aws)|docker products|application programming interfaces (api),0.12497655205997983
Candidate 29,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql,,senior ruby at  (jun 2023 to n/a)  | senior ruby and rails engineer at sidekick franchise (may 2022 to aug 2023)  | remote at goget (aug 2021 to dec 2022)  | backend developer at ruby on rails developer (sep 2020 to apr 2023)  | rails engineer at  (sep 2017 to n/a),ruby on rails,1,   senior ruby at  (jun 2023 to n/a)  | senior ruby and rails engineer at sidekick franchise (may 2022 to aug 2023)  | remote at goget (aug 2021 to dec 2022)  | backend developer at ruby on rails developer (sep 2020 to apr 2023)  | rails engineer at  (sep 2017 to n/a) ruby on rails,0.25448872456303284
Candidate 30,ruby + (golang/rust) engineer,,,,bachelor of arts communications and broadcast journalism at bloomfield college (n/a to jul 2015),assistant community manager at kushner companies (n/a to n/a)  | portfolio property manager at kushner companies (n/a to n/a)  | leasing consultant at morgan properties (n/a to n/a),,1,  bachelor of arts communications and broadcast journalism at bloomfield college (n/a to jul 2015) assistant community manager at kushner companies (n/a to n/a)  | portfolio property manager at kushner companies (n/a to n/a)  | leasing consultant at morgan properties (n/a to n/a) ,0.0
Candidate 31,lead generator,,,,bachelor marketing and business at university of belgrano (mar 2009 to dec 2011),business development manager at doble via latam (jan 2015 to n/a)  | sales executive at intag (dec 2014 to dec 2015)  | customer care representative at hewlett packard (mar 2013 to mar 2015)  | customer care representative at amadeus (apr 2012 to mar 2013)  | customer counseling at international customer care (n/a to n/a),microsoft excel|english,0,  bachelor marketing and business at university of belgrano (mar 2009 to dec 2011) business development manager at doble via latam (jan 2015 to n/a)  | sales executive at intag (dec 2014 to dec 2015)  | customer care representative at hewlett packard (mar 2013 to mar 2015)  | customer care representative at amadeus (apr 2012 to mar 2013)  | customer counseling at international customer care (n/a to n/a) microsoft excel|english,0.0
Candidate 32,lead generator,biz dev specialist,,,,translator at unc (n/a to n/a),,0,biz dev specialist   translator at unc (n/a to n/a) ,0.0
Candidate 33,senior devops engineer - aws,,,,"ingeniería, ingeniería eléctrica, electrónica y de comunicaciones at national polytechnic institute college of engineering and physical-mathematic sciences (jan 2010 to jan 2014)","cloud engineer at amarello (apr 2024 to n/a)  | devops enginner at hobops.io (jan 2023 to jun 2024)  | devops engineer and developer at at&t, méxico (oct 2016 to dec 2022)",,0,"  ingeniería, ingeniería eléctrica, electrónica y de comunicaciones at national polytechnic institute college of engineering and physical-mathematic sciences (jan 2010 to jan 2014) cloud engineer at amarello (apr 2024 to n/a)  | devops enginner at hobops.io (jan 2023 to jun 2024)  | devops engineer and developer at at&t, méxico (oct 2016 to dec 2022) ",0.22945208557616123
